Name,Height,School
Jasmine  Vega,61,York College
Samantha Panameno,65,York College
Simranjit Kaur,63,York College
Jasmine Dias,59,York College
Devina  Luckhoo,63,York College
Amariana Kidd,63,York College
Yoanne Boadji,65,York College
Jachimma Onwuamaegbu,71,York College
Maritza Ortega Ramirez,66,York College
Madison Plaza,67,York College
Alicia Gumbs,65,York College
Vanessa Ramirez,63,York College
Maria Ventura,63,York College
Jeana Clemons,67,York College
Maynee De Los Santos,64,Bronx CC
Emely Nunez,66,Bronx CC
Kiana Castillo,70,Bronx CC
Breanna Kimbrough,69,Bronx CC
Zouera Sofiani,65,Bronx CC
Nicole Santos,66,Bronx CC
Aichata Kone,70,Bronx CC
Nayely Rodriguez,66,Bronx CC
Nahara Lopez,66,Bronx CC
Despina Boudouris,65,Queens College
Olivia Hyman,65,Queens College
Sophie Schonauer,67,Queens College
Nourhan Hadjeb,61,Queens College
Christina Franco,69,Queens College
Madi Hathaway,70,Queens College
Elena Leung,68,Queens College
Alicia Cervera,71,Queens College
Lindsay Osterhoudt,73,Queens College
Elizabeth Cerullo,68,Queens College
Alexis Stoehrer,65,Queens College
Jonaida Donowa,71,Queens College
Jayna Marie Lorenzo,68,Queens College
Kendall Conrad,71,Queens College
Sarah Munn,63,Queens College
Maya Angelova,75,Queens College
Marah  Zenner,65,Augusta University
Rylie Harris,65,Augusta University
Giulia Rodrigues,63,Augusta University
Mia Saavedra,70,Augusta University
Mikayla  Kline,70,Augusta University
Sophia Kruczko,75,Augusta University
Lauren Posa,73,Augusta University
Abigail LeVines,71,Augusta University
Jada Suguturaga,73,Augusta University
Libby Nickels,61,Augusta University
Madelyn Eden,74,Augusta University
Jacklyn Simms,72,Augusta University
Marin Freeland,74,Augusta University
Layne Witherspoon,70,Augusta University
Janvier Buggs,66,Augusta University
Amelia Fitzpatrick,69,Flagler College
Lexi Basler,64,Flagler College
Ella Wicker,65,Flagler College
Marley Middlebrooks,70,Flagler College
Meredith Dixon,73,Flagler College
Colby Stempkowski,72,Flagler College
Bennett Daniels,71,Flagler College
Briged Potter,70,Flagler College
Shaelin Bilbo,66,Flagler College
Jordan Norwood,70,Flagler College
Molly Boyd,75,Flagler College
Jordan Berglin,70,Flagler College
Clare Sheedy,72,Flagler College
Cecilia Robert,67,Flagler College
Maeson Peterson,73,Flagler College
Lainee Mack,68,Flagler College
Cassidy Bloom,69,Flagler College
Gracie Fleming,71,Flagler College
Ana Cate Loftus,70,USC Aiken
Madison Fox,67,USC Aiken
Gyöngyvér  Araczki,70,USC Aiken
Anna Sommer,73,USC Aiken
Sadie McKay,69,USC Aiken
Sidney Hogan,67,USC Aiken
Kaitlyn  Rodriguez,70,USC Aiken
Avery Pearson,74,USC Aiken
Tucker Patterson,70,USC Aiken
Tabor Scanlon,66,USC Aiken
Chloe Duzenack,71,USC Aiken
Lexi Rogers,69,USC Aiken
Alli Bishop,72,USC Aiken
Emily Lammers,69,USC Aiken
Izabella De Lima,61,USC Aiken
Olivia Cook,68,Penn State Lock Haven
Kaitlyn Houck,63,Penn State Lock Haven
Kelly Gaston,68,Penn State Lock Haven
Avery Nicholson,65,Penn State Lock Haven
Natalie Acevedo,68,Penn State Lock Haven
Salma Villa  Morales,62,Penn State Lock Haven
Reagan  Irons,69,Penn State Lock Haven
Avery Beall,69,Penn State Lock Haven
Madison Eckley,65,Penn State Lock Haven
Emma Kelly,69,Penn State Lock Haven
Evie Jane Rembold,71,Penn State Lock Haven
Gracelynn Wolzen,71,Penn State Lock Haven
Maggie Rafferty,67,Penn State Lock Haven
Gabby Gealey,71,Penn State Lock Haven
Claire Pavick,68,Penn State Lock Haven
Erin Ferello,65,Penn State Lock Haven
Alyssa Daley,75,Penn State Lock Haven
Myka Costanzo,64,Penn State Lock Haven
Kyleigh McDermit,71,Penn State Lock Haven
Katrina Cowder,71,Penn State Lock Haven
