Name,Height,School
Asha Besaw,61.0,Queens College
Rory Chea,64.0,Queens College
Laura Cruz Rosario,63.0,Queens College
Natalia Cuttler,66.0,Queens College
Jillian Etnel,63.0,Queens College
Kristen Flores,61.0,Queens College
Alexis Hall,68.0,Queens College
Bianca Hiltz,69.0,Queens College
Fatima Morrobel,62.0,Queens College
Melanie Rodriguez,59.0,Queens College
Nakia Usher,58.0,York College
Julia Wyman,58.0,York College
Scarlet Astudillo,64.0,Baruch College
Joscelyn  Galindo,63.0,Baruch College
Dea Gazheli,63.0,Baruch College
Amanda Lee,61.0,Baruch College
Katherine Lee,62.0,Baruch College
Jillian Quinn,65.0,Baruch College
Aanya Shukul,69.0,Baruch College
Nicole  Tarasiuk,67.0,Baruch College
Joyce  Wong,64.0,Baruch College
Amy Zeng,62.0,Baruch College
Jennifer Alvarado,63.0,Brooklyn College
Christine  Bailey,62.0,Brooklyn College
Elizabeth Bailey,64.0,Brooklyn College
Ayatallah Elkotby,72.0,Brooklyn College
Hebatallah Elkotby,68.0,Brooklyn College
Sydney Gdanski,68.0,Brooklyn College
Hailey Johnston,64.0,Brooklyn College
Yelyzaveta Kurchak,65.0,Brooklyn College
Anastasia Kutuzov,65.0,Brooklyn College
Sameeha Yara Malik Shaik,65.0,Brooklyn College
Diana Plasencia,65.0,Brooklyn College
Maria Scutero,63.0,Brooklyn College
Cierra Stenbar,62.0,Brooklyn College
Kornelia Buszka,71.0,Lindenwood University
Laney Fenton,66.0,Lindenwood University
Morgen Frausto,69.0,Lindenwood University
Megan Hollaar,69.0,Lindenwood University
Ellie Lopez,67.0,Lindenwood University
Adi Luker,70.0,Lindenwood University
Stephanie Marks,70.0,Lindenwood University
Adison Marshall,69.0,Lindenwood University
Beata Maruszczyk,63.0,Lindenwood University
Joselle Mensah,69.0,Lindenwood University
Karissa Metzger,67.0,Lindenwood University
Marlene Pape,68.0,Lindenwood University
Maja Piotrowicz,73.0,Lindenwood University
Ashley Richard,64.0,Lindenwood University
Nina Tasic,67.0,Lindenwood University
Bayley Thompson,65.0,Lindenwood University
Linsey Watson,68.0,Lindenwood University
Saylor Wilson,66.0,Lindenwood University
Lyssa Wood,69.0,Lindenwood University
Aurora Abbruscato,66.0,McKendree University
Bianka Bukovics,71.0,McKendree University
Sophia Burwitz,66.0,McKendree University
Terrah DeLorimiere,63.0,McKendree University
Luiza Dias,68.0,McKendree University
McKenzie Fazio,74.0,McKendree University
Chiara Fuerst,67.0,McKendree University
Olivia Fuller,68.0,McKendree University
Atzi Gomez,63.0,McKendree University
Sarah Gormley,66.0,McKendree University
Presley Heitzmann,71.0,McKendree University
Alexis Kachkin,69.0,McKendree University
Natalia Kralova,69.0,McKendree University
Helena  Kurtz,64.0,McKendree University
Tumi Macdonell,68.0,McKendree University
Keianna Moss,68.0,McKendree University
Rylee Sitton,67.0,McKendree University
Caitlyn Sligh,68.0,McKendree University
Karley Sonnenberg,70.0,McKendree University
Olivia Terry,65.0,McKendree University
Logan Wilson,65.0,McKendree University
Jocelyn Zgola,70.0,McKendree University
Fifi  Amanuel,64.0,Ramapo College
Julia Caramagna,62.0,Ramapo College
Isabella Hanson,70.0,Ramapo College
Mairin Huston,63.0,Ramapo College
Maddy Joe,62.0,Ramapo College
Grace Korey,70.0,Ramapo College
Camila Mercado,61.0,Ramapo College
Valeria Pages,61.0,Ramapo College
Alazne Sudupe,65.0,Ramapo College
Magdalen Swat,62.0,Ramapo College
Sovy Taylor,65.0,Ramapo College
Rachel Vazquez,65.0,Ramapo College
Cami Yovich,62.0,Ramapo College
Krisztina Balogh,66.0,Kean University
Emma Bellars,65.0,Kean University
Abby Burns,65.0,Kean University
Alisa Dovbnya,68.0,Kean University
Laney Fenton,66.0,Kean University
Grace Geyer,71.0,Kean University
Taylor Jacobson,61.0,Kean University
Ashley Konz,68.0,Kean University
Emma Lindecke,65.0,Kean University
Abbie Masters,63.0,Kean University
Teagan Powell,69.0,Kean University
Vivian Ravines,68.0,Kean University
Faith Ring,63.0,Kean University
Sydney Stemley,66.0,Kean University
Braelyn Wilson,65.0,Kean University
Victoria Zjawin,64.0,Kean University
Alexandria Bard,66.0,SUNY Oneonta
Madeline Boyar,65.0,SUNY Oneonta
Ashley Brousseau,69.0,SUNY Oneonta
Veronica Coe,66.0,SUNY Oneonta
Destiny  Duckworth,64.0,SUNY Oneonta
Cadence  Dudley,62.0,SUNY Oneonta
Alexis Gibson,67.0,SUNY Oneonta
Macayla Hodkinson,66.0,SUNY Oneonta
Allison LaBarbera,66.0,SUNY Oneonta
Alaska Lilliock,66.0,SUNY Oneonta
Anna McCall,66.0,SUNY Oneonta
Lena Nakken,69.0,SUNY Oneonta
Paige Splendido,65.0,SUNY Oneonta
Callie Stinson,64.0,SUNY Oneonta
Alyssa Thompson,67.0,SUNY Oneonta
Raina Willie,69.0,SUNY Oneonta
